PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
VladimirGuerrero,TOR,161,604,123,188,29,1,48,111,86,110,4,1,0.311,0.401,0.601,1.002
SalvadorPerez,KC,161,620,88,169,24,0,48,121,28,170,1,0,0.273,0.316,0.544,0.86
ShoheiOhtani,LAA,158,537,103,138,26,8,46,100,96,189,26,10,0.257,0.372,0.592,0.964
MarcusSemien,TOR,162,652,115,173,39,2,45,102,66,146,15,1,0.265,0.334,0.538,0.872
FernandoTatis,SD,130,478,99,135,31,0,42,97,62,153,25,4,0.282,0.364,0.611,0.975
MitchHaniger,SEA,157,620,110,157,23,2,39,100,54,169,1,0,0.253,0.318,0.485,0.803
AaronJudge,NYY,148,550,89,158,24,0,39,98,75,158,6,1,0.287,0.373,0.544,0.917
BrandonLowe,TB,149,535,97,132,31,0,39,99,68,167,7,1,0.247,0.34,0.523,0.863
MattOlson,OAK,156,565,101,153,35,0,39,111,88,113,4,1,0.271,0.371,0.54,0.911
RafaelDevers,BOS,156,591,101,165,37,1,38,113,62,143,5,5,0.279,0.352,0.538,0.89
AdamDuvall,ATL,146,513,67,117,17,2,38,113,35,174,5,0,0.228,0.281,0.491,0.772
JoeyGallo,NYY,153,498,90,99,13,1,38,77,111,213,6,0,0.199,0.351,0.458,0.809
PeteAlonso,NYM,152,561,81,147,27,3,37,94,60,127,3,0,0.262,0.344,0.519,0.863
MaxMuncy,LAD,144,497,95,124,26,2,36,94,83,120,2,1,0.249,0.368,0.527,0.895
JoseRamirez,CLE,152,552,111,147,32,5,36,103,72,87,27,4,0.266,0.355,0.538,0.893
JoeyVotto,CIN,129,448,73,119,23,1,36,99,77,127,1,0,0.266,0.375,0.563,0.938
BryceHarper,PHI,141,488,101,151,42,1,35,84,100,134,13,3,0.309,0.429,0.615,1.044
KyleSeager,SEA,159,603,73,128,29,1,35,101,59,161,3,1,0.212,0.285,0.438,0.723
GiancarloStanton,NYY,139,510,64,139,19,0,35,97,63,157,0,0,0.273,0.354,0.516,0.87
NolanArenado,STL,157,593,81,151,34,3,34,105,50,96,2,0,0.255,0.312,0.494,0.806
NickCastellanos,CIN,138,531,95,164,38,1,34,100,41,121,3,1,0.309,0.362,0.576,0.938
TylerO'Neill,STL,138,482,89,138,26,2,34,80,38,168,15,4,0.286,0.352,0.56,0.912
YordanAlvarez,HOU,144,537,92,149,35,1,33,104,50,145,1,0,0.277,0.346,0.531,0.877
RyanMountcastle,BAL,144,534,77,136,23,1,33,89,41,161,4,3,0.255,0.309,0.487,0.796
JorgePolanco,MIN,152,588,97,158,35,2,33,98,45,118,11,6,0.269,0.323,0.503,0.826
